id,snn,medication
663,532-65-0128,LANEIGE SATIN FINISH TWIN PACT NO. 25
664,677-35-2143,GEMCITABINE HYDROCHLORIDE
665,577-50-1038,Zep Professional E-2 Hand Cleaner
666,740-12-7372,Basil
667,594-08-2913,METOPROLOL SUCCINATE
668,719-78-3986,Island Banana Antibacterial Foaming Hand Wash
669,353-06-9828,Atenolol
670,396-92-4357,DELTUSS DMX Cough Suppressant Nasal Decongestant Antihistamine GRAPE Flavor
671,221-90-6218,Standardized Short Ragweed Pollen
672,328-23-4559,Atenolol
673,751-29-5768,Levothyroxine Sodium
674,694-51-5045,good neighbor pharmacy sinus
675,397-28-6758,Alpan 40 (Number 110)
676,342-67-9483,Candida
677,337-35-7055,Meijer Menthol Cough Drops
678,619-49-0498,potassium chloride
679,482-17-0514,Artichoke
680,554-03-2855,up and up adult cough formula dm max
681,113-81-7678,Laneige UV TOTAL BASE
682,407-44-5533,Vexol
683,281-35-9455,Lidocaine Hydrochloride
684,276-49-5960,Pioglitazone Hydrochloride
685,435-55-4390,Fluconazole
686,825-39-4653,SOLIE ESSENCE
687,880-43-6057,Glyburide and Metformin
688,585-58-9395,Alba Sunblock Natural Sport SPF 45
689,235-28-1574,Ziprasidone Hydrochloride
690,203-73-7678,Haloperidol Decanoate
691,488-96-0069,Cymbalta
692,170-91-5643,Simvastatin
693,272-83-8168,GOODSENSE ADVANCED RELIEF EYE DROPS
694,224-96-9353,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
695,641-49-5491,Seroquel
696,329-21-6075,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic)
697,311-04-9379,Divalproex Sodium
698,289-46-3352,Bacteriastatic Sodium Chloride
699,841-05-6634,up and up miconazole 7
700,422-06-6427,Unblemish
701,383-60-9771,glipizide
702,766-74-6215,Topcare Nite Time
703,556-35-8043,Potassium Chloride
704,126-35-5739,Vinceel
705,315-14-1589,Divalproex Sodium
706,514-84-1155,Papaya Mango Antibacterial Hand
707,722-78-6658,ANTIBACTERIAL
708,433-49-6685,BF-PARADAC
709,230-93-2916,Promethazine
710,770-38-2433,Promethazine Hydrochloride
711,722-28-7748,Signature Body
712,292-45-7945,Luvox CR
713,309-12-3615,Cough Runny Nose
714,453-65-3756,Gabapentin
715,764-91-4760,Arthri-Zen Relief
716,458-62-7292,SERTRALINE
717,341-56-6757,CENTER-AL - ATRIPLEX WRIGHTII POLLEN
718,583-70-7418,vbeaute Day Job 30ml
719,615-87-8197,SUMATRIPTAN
720,214-53-2547,UV SUNSET Body And Family Sun
721,371-25-9103,Lidocaine Hydrochloride
722,690-69-0837,Digoxin
723,266-86-1906,FIRST AID Contains 404 PIECES
724,677-79-4197,ATOMY BB CREAM SPF 30 PA
725,775-43-6316,Pro Advantage Antibacterial
726,400-60-0521,KIDS RELIEF EAR RELIEF
727,240-06-0923,Potassium Chloride in Dextrose and Sodium Chloride
728,495-68-3181,Alcohol Prep Pad
729,511-74-6453,Diphenhydramine Hydrochloride
730,740-70-6922,Topotecan Hydrochloride
731,851-84-4364,Topcare Antacid
732,245-81-5210,Lisinopril and Hydrochlorothiazide
733,824-98-4636,Magnesite Viscum
734,679-67-4621,RAYOS
735,413-11-1516,NAFCILLIN
736,731-45-6773,Chamomilla Belladonna Adult Size
737,106-69-9414,Cevimeline Hydrochloride
738,153-13-7206,Infants Gas Relief
739,110-26-0463,Haloperidol Decanoate
740,676-26-1662,Jute
741,869-41-6787,Soothing Advanced Arnica
742,705-30-4909,Spongatos
743,131-99-2274,STEMPHYLIUM SOLANI
744,596-33-6903,Risperidone
745,508-29-0836,Montelukast Sodium
746,120-47-4764,Sunscreen
747,863-20-0318,Locoid
748,293-63-6893,Tension Headache Relief
749,262-24-5816,CARYA ILLINOINENSIS POLLEN
750,194-10-8147,MAX LAX
751,883-59-0496,NUCYNTA
752,244-62-3136,Methocarbamol
753,235-33-6275,Shopko
754,678-07-7076,Orange Pollen
755,717-65-7425,Argentum nitricum 6 Special Order
756,400-06-0949,Xopenex
757,212-42-0120,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN
758,150-82-6842,Donepezil hydrochloride
759,314-85-2721,Clease and Treat
760,811-83-6140,Capsicum Chamomilla
761,432-71-9102,up and up ibuprofen
762,823-48-1918,CEFPODOXIME PROXETIL
763,433-46-3933,ZALEPLON
764,847-35-8694,Lactulose
765,562-73-5147,Oxcarbazepine
766,664-26-2081,CELL BOOSTING BB
767,169-15-8325,ZYPREXA
768,858-22-2012,Azithromycin
769,684-93-9789,Pyril DM
770,525-27-1365,Reprexain
771,780-27-2581,Crest Anticavity Kit
772,334-69-5529,Levetiracetam
773,452-60-2350,Cough
774,258-36-6028,NEXIUM
775,810-75-7911,Tiger Balm
776,442-72-1450,Diltiazem Hydrochloride
777,216-95-1735,ANTIBACTERIAL FOAMING
778,423-89-8281,Perphenazine
779,461-74-7638,Minocycline Hydrochloride
780,773-70-2375,Givenchy TEINT COUTURE Long Wearing Fluid Foundation with Sunscreen Broad Spectrum SPF 20 ELEGANT GOLD
781,299-16-1007,Flu Relief
782,532-62-1169,Antibacterial Hand Towelettes
783,392-67-4393,Lactulose
784,406-60-4625,Cesium Chloride
785,475-15-4784,Halobetasol Propionate
786,302-25-5395,Neutrogena
787,810-96-1035,Lisinopril
788,875-77-5289,TriAdvance
789,250-45-9671,ANGUSTURA VERA
790,320-41-8137,Virx Instant Hand Sanitizer with security clip
791,341-58-1701,Loxapine
792,411-99-9204,Saniquat Foaming hand sanitizer
793,562-65-3997,DayTime Nitetime cold and flu relief
794,593-59-9440,FiberTab
795,426-01-9172,CareOne Loperamide Hydrochloride
796,285-44-1158,Simvastatin
797,611-71-1163,Scott-Vincent Borba
798,264-84-3664,Ropinirole Hydrochloride
799,368-24-1531,Hand Sanitizer
800,873-90-1563,womens laxative
801,255-04-7428,CHENOPODIUM ALBUM POLLEN
802,799-44-0825,LANEIGE BB Cushion no.21
803,835-64-1757,Utah Juniper Pollen
804,344-22-5981,Pramipexole Dihydrochloride
805,315-64-5617,Ondansetron
806,615-25-0417,Doxy 100
807,502-83-0860,Banana Boat Ultra defense SPF 50 Canada
808,395-65-7886,Adult Cough and Chest Congestion Relief DM
809,702-06-5947,Goats Milk
810,499-08-2359,Bupropion Hydrochloride
811,597-56-2198,POPULUS ALBA POLLEN
812,882-29-0253,"Pollens - Weeds and Garden Plants, Scale, Wing (Shad) Atriplex canescens"
813,339-03-8628,Pataday
814,408-68-7124,Lidocaine Hydrochloride and Hydrocortisone Acetate
815,507-31-5594,Argatroban
816,367-47-3210,AUGMENTIN
817,475-01-5583,Alprazolam
818,143-74-2453,Mapap
819,875-52-1134,Pitch Pine
820,495-48-7030,Medical Provider Single Use EZ Flu Shot 2013-2014
821,812-73-9357,Potassium Chloride in Dextrose and Sodium Chloride
822,222-78-4386,Chills and Fevers
823,794-60-5804,7 select day time relief
824,676-30-4407,Antioxidant Daily Protectant SPF 50
825,137-80-9423,CLE DE PEAU BEAUTE FOUNDATION I
826,880-45-9507,Topiramate
827,788-55-7747,acarbose
828,862-77-5454,Alprazolam
829,280-28-3529,Tobramycin
830,879-35-5719,Cisatracurium Besylate
831,583-21-4486,Intelence
832,897-25-4844,Lymph Assist
833,625-82-4267,Walgreen Sensitive Extra Whitening
834,433-94-5174,Scott Triclosan Free Antibacterial Skin Cleanser
835,822-05-0834,Stomach relief
836,669-10-5372,Rifampin
837,738-86-4276,Nadolol
838,515-69-7162,Guaifenesin
839,829-26-8133,Maybelline New York Pure Stay Powder Foundation Broad Spectrum SPF 15 Sunscreen
840,591-40-9857,LidoStat
841,519-92-7605,SUN SHIELD BROAD SPECTRUM SPF 50 MATTE
842,298-04-3451,EARACHE RELIEF
843,161-49-4841,ketamine hydrochloride
844,458-84-0644,Head and Shoulders
845,348-77-3085,Colgate
846,124-15-6241,TRETIN.X
847,611-20-9914,Benazepril Hydrochloride
848,741-38-4846,NARS ALL DAY LUMINOUS FOUNDATION
849,457-97-9351,Cultivated Wheat
850,791-48-8616,Obstetrical Antiseptic
851,776-23-1326,Oxygen
852,537-87-5184,Levothyroxine Sodium
853,217-24-6952,Betonica Rosmarinus
854,634-31-9104,Health Mart fiber caplets
855,167-23-5127,Naproxen
856,468-25-0296,SUNTINTS
857,851-99-2012,Ranitidine
858,742-21-0067,Istalol
859,829-11-6043,Omeprazole
860,214-29-6846,Vichy Laboratoires Normaderm
861,630-48-0508,Eating Disorders
862,764-72-6978,Pain Relief PM
863,236-43-8245,Medline Alcohol Prep
864,399-05-4132,Baclofen
865,265-66-2404,Flu Relief Therapy Night Time
866,879-82-4599,Pristiq
867,333-49-0395,NITROFURANTOIN
868,225-29-8413,Geodon
869,533-24-8312,Metformin Hydrochloride
870,284-65-4064,Care One Nicotine
871,476-56-8600,Olanzapine
872,338-22-5033,Spinach
873,889-04-0141,Isopropyl Rubbing Alcohol
874,335-42-3663,equaline nicotine
875,339-49-6196,equaline all day pain relief
876,590-22-3843,Topcare Allergy Relief
877,667-64-6262,Health Smart Lavender Baby Petroleum
878,670-17-4279,epirubicin hydrochloride
879,572-67-4804,BabyBIG
880,866-85-5413,Clonazepam
881,161-74-5376,Peptic Relief
882,554-97-0494,Stool Softener
883,104-51-2267,Ropinirole
884,788-08-0661,Bicalutamide
885,374-90-1929,Cephalexin
886,819-37-5723,Ceramide Lift And Firm Makeup Broad Sprectrum Sunscreen SPF 15 Sandstone
887,283-03-5355,Levofloxacin
888,543-60-7624,IFEREX 150
889,748-11-3035,Australian Gold
890,516-70-8548,"Pollens - Weeds, Weed mix 2630"
891,158-13-1500,EcoCare 250
892,237-16-7804,BuPROPion Hydrochloride
893,654-37-7728,Ampicillin and Sulbactam
894,180-21-3839,Oxymorphone Hydrochloride
895,232-83-8352,OXYBUTYNIN CHLORIDE
896,746-30-5599,RELENZA
897,477-07-5734,Zydelig
898,208-76-4906,Diovan HCT
899,688-02-5819,Sodium Chloride
900,580-23-5492,Soothe
901,285-29-1839,CEFADROXIL
902,139-86-8304,Equate Sore Throat
903,526-53-9902,Galantamine Hydrobromide
904,888-44-4029,Montelukast Sodium
905,197-54-3749,VANCOMYCIN HYDROCHLORIDE
906,310-03-8520,Hand Sanitizer
907,188-12-9033,Retaine CMC Lubricant Eye Drops
908,752-45-6054,Locoid
909,344-78-0363,Pain Reliever PM
910,836-54-6726,Cepacol Sore Throat Maximum Numbing Citrus
911,548-31-7535,Chlordiazepoxide Hydrochloride
912,869-53-7633,Moexipril Hydrochloride
913,784-42-1259,No7 Lifting and Firming Foundation Sunscreen SPF 15 Blonde
914,435-67-7209,SUYAN JEONGDAN
915,349-74-9994,A.H.C. Collagen Toner
916,846-05-9404,Indium 111 Oxyquinolone
917,284-36-4347,MIRTAZAPINE
918,289-09-6768,Riomet
919,456-63-3608,Magnesium Sulfate
920,391-82-0246,Olbas Pastilles
921,741-18-3854,Topiramate
922,238-64-7422,Glyburide
923,305-48-2687,citroma
924,347-65-0355,Freshscent Anti-Perspirant Deodorant
925,781-51-1058,EVOKE Antiperspirant Deodorant
926,181-83-2446,bareMinerals bareSkin Pure Brightening Serum Foundation Broad Spectrum SPF 20
927,233-35-4449,CD DIORSKIN STAR Studio Makeup Spectacular Brightening with sunscreen Broad Spectrum SPF30 023
928,334-44-0678,Doxazosin Mesylate
929,124-06-5177,Feminine
930,230-36-3998,Enoxaparin Sodium
931,234-58-8331,West Sycamore
932,854-65-8498,Charmzone Natural Skinade BB Cream (SPF20 PA)
933,594-94-4407,Tretinoin Gel Microsphere
934,777-10-6264,Amazing Face
935,446-01-5278,day time nitetime cough
936,477-01-3776,Night Time Cherry
937,410-41-3083,Povidone Iodine Prep Pad
938,835-14-3947,Gabapentin
939,355-33-8334,L OCCITANE CADE PROTECTIVE MOISTURIZING FLUID - FOR MEN BROAD SPECTRUM SPF 20 SUNSCREEN
940,463-64-8212,OXYGEN
941,764-30-9500,Safe Harbor - Natural Anti-Aging Sunscreen Broad Spectrum SPF30 Sunscreen Sensitive Skin
942,346-27-2473,Glutose
943,716-01-6435,Risperidone
944,361-48-2609,Natural SUN
945,394-27-4635,Nux vomica Chamomilla
946,401-67-5291,Liquid Detox
947,203-57-8883,Dry Scalp Care
948,554-02-3477,Topcare pain and fever
949,429-56-4483,Topcare Hemorrhoidal
950,645-98-7695,ALPHAGAN P
951,506-14-8229,Lorazepam
952,320-22-4327,Atrovent
953,716-53-6456,SEROQUEL
954,181-66-1167,Sore Nipples
955,793-38-1352,TAMSULOSIN HYDROCHLORIDE
956,653-89-9319,Clorox CareConcepts Bed Bath and Hygiene
957,280-83-3305,Sciatica - Nerve Care
958,659-31-6027,Salsalate
959,483-36-8354,Venlafaxine
960,175-48-2847,Tramadol
961,396-21-8924,Isopropyl
962,722-06-9721,Cumin
963,823-65-9141,Fluconazole
964,132-77-9078,Lancome Tropiques Minerale
965,227-56-0056,Phillips Stool Softener
966,499-30-8729,BestHealth Cough Suppressant SUGAR FREE BLACK CHERRY FLAVOR
967,142-79-4986,Sodium Fluoride
968,645-92-3852,Roll On Anti-Perspirant (Alcohol Free)
969,195-88-6418,anti diarrheal
970,211-38-0506,Nitrogen
971,149-04-9351,AVEENO
972,222-26-9048,WHP Be gone Constipation
973,837-30-0295,Gas relief
974,674-77-4468,Diurex
975,547-49-5270,Climara Pro
976,423-25-3631,enema mineral oil
977,403-43-2691,No7 Stay Perfect Foundation Sunscreen SPF 15 Vanilla
978,507-96-5564,cold
979,384-21-6869,Pravastatin Sodium
980,716-24-9781,Lisinopril
981,135-97-6590,SINGULAIR
982,391-80-1169,Amlodipine besylate
983,482-70-1129,OXYGEN
984,644-03-2798,Omeprazole
985,502-74-4940,Terazol 3
986,465-84-2693,Giorgio Armani Maestro Fusion Makeup Compact Broad Spectrum SPF 29 Sunscreen
987,242-67-1069,Venlafaxine Hydrochloride
988,139-85-5459,POLYPHENOL C15 BROAD SPECTRUM SPF20 ANTI-WRINKLE PROTECT FLUID
989,665-41-3122,Pantoprazole Sodium
990,654-51-4548,DILANTIN
991,136-46-9135,Instant Foaming Hand Sanitizer
992,861-87-1895,Acne
993,680-57-7679,AGAVE TEQUILANA
994,572-49-0864,White Kidney Beans
995,179-80-2095,Oxygen
996,308-73-5047,HemaCord
997,619-90-9234,Phos-Flur Ortho Defense
998,204-88-7344,Antiseptic
