id,snn,medication
666,131-20-6903,Dicyclomine Hydrochloride
667,312-54-1517,Pepper Tree
668,881-55-6793,Topical 60 Sec Sodium Fluoride
669,734-45-2156,daytime severe cold and flu relief
670,171-58-7381,Therapeutic T Plus
671,356-82-6820,"carbidopa, levodopa and entacapone"
672,301-43-9994,Naltrexone Hydrochloride
673,740-58-7627,Oxygen
674,111-18-5700,Hydroxyzine Pamoate
675,856-43-7435,Gleevec
676,444-43-9290,Modafinil
677,231-21-4587,Phenobarbital
678,505-70-7298,Fluoxetine
679,525-17-7163,Euphrasia Officinalis Kit Refill
680,599-40-7618,CRESTOR
681,347-24-8049,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
682,268-68-3312,Asthma Complex
683,313-69-7883,Appetite - Craving Control
684,604-76-4472,Mary Kay Blemish Control Toner
685,740-91-9644,Clonidine Hydrochloride
686,674-47-5358,Simple
687,181-68-4521,Tarceva
688,475-85-9909,Tretinoin
689,216-33-0240,Finafta
690,647-36-9320,GEODON
691,197-59-9075,Western Family Baby Broad Spectrum Sunscreen
692,659-65-6074,Lorazepam
693,360-54-2488,Good Sense Acid Reducer
694,561-87-9701,Olanzapine
695,242-83-7075,Ear Formula
696,736-65-9880,Medical Provider Single Use EZ Flu Shot Kit
697,379-32-1742,Simvastatin
698,459-05-5230,Double T
699,813-36-4211,Epstein Barr Virus Remedy
700,423-72-4376,Oxygen
701,185-78-3726,Zolpimist
702,816-71-9421,PRAMIPEXOLE DIHYDROCHLORIDE
703,705-09-0906,Lamotrigine
704,226-79-1268,BUDEPRION
705,602-01-1589,BACITRACIN
706,224-11-7981,cold
707,107-54-8471,Loneliness and Sadness
708,846-12-7356,Synthroid
709,391-82-6723,Hydralazine Hydrochloride
710,753-10-7441,Psoriasis Skin Cream
711,835-98-6885,PASPALUM NOTATUM POLLEN
712,641-56-8440,Digoxin
713,551-32-4329,American Cockroach
714,406-99-7551,Rx Act Heartburn Prevention
715,218-68-4661,Estradiol Valerate
716,430-92-2130,AMBROSIA TRIFIDA POLLEN
717,764-49-9831,Trout
718,290-79-8043,WESTERN FAMILY DIAPER RASH
719,619-28-5681,bethanechol chloride
720,531-98-9625,moisturising sunscreen
721,628-54-7442,OFFECTS TE-PADS ACNE PORE TREATMENT SYSTEM
722,640-19-1226,Temazepam
723,549-25-3087,Xyrem
724,358-03-2839,MAXALT
725,881-79-3478,Propranolol Hydrochloride
726,500-05-5427,Temovate
727,785-66-2090,Aurum Equisetum B
728,416-32-2691,SINGULAIR
729,132-20-8979,Dial Aloe Antibacterial Soap
730,634-50-1462,Atorvastatin Calcium
731,445-01-0302,Tag Alder
732,275-20-1850,COREGCR
733,785-25-2448,Hydrochlorothiazide
734,139-53-5033,SYMPHYTUM OFFICINALE
735,554-94-9406,Amlodipine and Benazepril Hydrochloride
736,456-70-4067,Flawless Finish Bare Perfection Makeup SPF 8 Ivory
737,738-70-4203,Nitrofurantoin Monohydrate/ Macrocrystalline
738,807-09-0103,AtoQ30 Solution
739,142-01-0782,Livalo
740,570-82-9628,Piperacillin and Tazobactam
741,216-66-0511,Lomedia 24 Fe
742,235-34-1477,misoprostol
743,266-94-5695,Lisinopril
744,151-40-0130,Diazepam
745,740-24-8781,Drainage
746,889-54-9072,Ulta Sparkling Lemon Anti-Bacterial Deep Cleansing
747,675-29-5372,Acetaminophen
748,741-97-6464,Corn Grain
749,594-56-6944,Cyclafem 1/35
750,327-40-9844,Aldex CT
751,228-21-4723,Nicotine
752,400-17-5037,Bamboo Sap Patch
753,832-75-3119,ShopRite Childrens Allergy
754,865-46-7647,BabyB BabySaver
755,487-99-5684,LEVOFLOXACIN
756,556-08-3991,Rhus tox. 1 Special Order
757,121-60-3747,ACETAMINOPHEN AND CODEINE PHOSPHATE
758,731-90-9971,Sotalol Hydrochloride
759,630-96-8461,Chan Yat Hing She Kun Wool Lok Medicated Oil
760,628-91-8606,Timeless
761,242-29-1174,ENALAPRIL MALEATE
762,827-60-1286,White Poplar
763,134-83-3997,BLUMJK PAIN RELIEF
764,712-58-2293,VICODIN
765,133-51-8565,Extra Strength Gas Relief
766,245-25-2012,Aspirin
767,196-28-6454,Meclizine Hydrochloride
768,400-57-2932,Banzel
769,530-41-8901,HAND SANITIZER
770,422-13-8327,Ultracare Anesthetic
771,350-83-0383,Quetiapine fumarate
772,367-07-0158,Atenolol
773,661-10-1684,Atenolol
774,355-25-0106,Bite Beauty SPF 15 Sheer Balm
775,825-31-1713,Levoxyl
776,482-66-8114,Hackberry Pollen
777,258-34-2077,Xopenex
778,248-50-9965,Marcaine with Epinephrine
779,774-04-7262,Nighttime Cold and Flu Relief
780,827-13-6533,Dilantin
781,339-77-3143,Benztropine Mesylate
782,312-87-9140,Bisoprolol Fumarate
783,331-68-6656,Aruba Aloe Very Water Resistant Sunscreen
784,476-97-6955,Isoniazid
785,846-75-0856,Sertraline Hydrochloride
786,748-60-9264,One Seed Juniper
787,244-40-3107,SPINACH
788,199-45-2513,"Pollens - Trees, Ash, White Fraxinus americana"
789,110-24-8269,Fresh Morning Bifidus
790,331-16-2963,Hamster Epithelium
791,605-41-5895,Triamterene and Hydrochlorothiazide
792,782-92-5014,Gabapentin
793,860-15-9374,Maximum Strength Original Diaper Rash
794,598-68-7709,Tretinoin
795,400-31-2196,Lamotrigine
796,531-56-6855,Real Deal Foundation
797,793-96-9495,Bio Mimulus
798,147-48-4421,Tusnel
799,647-98-8462,LOXITANE
800,225-42-3925,Firebush/Burning Bush
801,754-88-4113,"Standardized Mite, Dermatophagoides pteronyssinus"
802,807-08-7168,Oral Saline Laxative
803,520-09-0002,Enalapril Maleate
804,247-37-0344,Purminerals 4 in 1 Makeup SPF 15 Light
805,173-54-7618,Valsartan and hydrochlorothiazide
806,526-74-0961,Diclofenac Potassium
807,164-08-9691,Eczema Skin Eruptions
808,721-62-5730,Echinacea Ang Kit Refill
809,218-40-6434,HAWAIIAN Tropic
810,103-32-0403,LE TECHNIQ
811,266-08-9246,Trandolapril
812,796-89-3826,Womens Laxative
813,798-68-5908,lice treatment
814,603-04-3705,Rodan and Fields
815,368-80-6727,Badger Damascus Rose Broad Spectrum SPF 20 Face Sunscreen - Sheer Tint
816,705-41-1749,Pain Relief PM
817,768-82-2115,Escitalopram
818,289-76-4382,Ketorolac Tromethamine
819,215-50-2696,Leader Pain Reliever
820,810-36-1270,Broad Spectrum SPF 70 Sunscreen
821,333-18-8814,Ranitidine Hydrochloride
822,772-10-8644,Neutrogena MoistureShine SPF20
823,698-66-0305,COUMADIN
824,197-78-3101,Magnesium Oxide
825,661-30-0864,Clearskin
826,585-07-7134,Lisinopril
827,739-16-8254,DUAL ACTION CHERRY COUGH SUPPRESSANT ORAL ANESTHETIC
828,478-28-8528,Diphenoxylate Hydrochloride and Atropine Sulfate
829,753-09-2451,White Ash
830,337-18-6560,Oxygen
831,564-55-1691,Atenolol
832,824-99-6088,DOCUSATE SODIUM
833,274-31-5912,Amoxicillin and Clavulanate Potassium
834,651-88-5158,Sodium Chloride
835,671-27-2166,Gillette Clear
836,525-82-8810,flu and severe cold and cough
837,140-96-6378,Childrens Loratadine
838,548-28-3976,Roxicet
839,779-21-4116,Meijer Nighttime Severe Cold and Cough
840,208-73-6048,Terrasil Jock-Itch Treatment
841,861-18-9971,SUPER ORIGIN CERAMIDE BB
842,279-06-2717,Triamcinolone Acetonide
843,270-26-3715,TOPROL
844,728-39-0716,Nifedipine
845,334-47-3681,Alendronate Sodium
846,548-65-7172,Senna
847,767-24-7663,Kiehls Since 1851 Dermatologist Solutions Super Fluid UV Defense
848,371-91-3221,Metoprolol Tartrate and Hydrochlorothiazide
849,233-57-0251,3D Lifting
850,274-66-6858,Nicotine
851,155-97-6782,Nicorette
852,693-51-6786,SUPREME 1ST ESSENCE
853,296-01-0864,Gabapentin
854,173-84-4777,Amiodarone Hydrochloride
855,740-17-0136,Lotrel
856,174-04-8623,XIFAXAN
857,665-34-5808,Bengay Pain Relieving
858,806-23-9425,"PHOENIX HEALTHCARE SOLUTIONS, LLC"
859,486-79-0331,Pramipexole Dihydrochloride
860,363-82-5360,Nystatin
861,599-07-1575,HERBAL HEAT
862,235-28-1687,The Cover Classic Soft Foundation
863,390-14-4659,Organic Wear CC Cream
864,507-93-0238,Se-Care Chewable
865,264-28-1640,Hydrocortisone Butyrate
866,768-18-6440,Primidone
867,846-79-3376,DIARRHEA
868,308-03-1115,FAMOTIDINE
869,723-06-7501,Metformin Hydrochloride
870,782-14-8175,Oxaprozin
871,539-42-7502,Frankincense and Myrrh Neuropathy
872,190-65-9573,Coppertone Kids Sunscreen
873,593-62-4111,Exuviance Intense Lightening Complex
874,295-68-2664,Manefit Bling Bling Whitening Platinum Hydrogel Mask
875,309-89-7443,"Pollens - Trees, Mulberry Mix"
876,286-89-3369,Haddock
877,759-83-2696,Ibuprofen
878,746-72-7215,VP-ZEL
879,688-76-9078,Risperidone
880,628-56-4359,Clobetasol Propionate
881,409-46-0856,Leukotrap - CP2D Solution
882,402-29-7001,PLUM
883,227-33-3879,Olanzapine
884,317-78-2202,Lima Beans
885,690-41-6451,health mart childrens pain and fever
886,579-79-4481,Infergen
887,154-53-4764,ADVANCED CELL BOOSTING EX DAY
888,479-64-2146,Halls
889,758-47-1277,Alprazolam
890,458-48-3137,05 Moisture Foundation SPF 15
891,665-64-6650,AFLURIA
892,839-68-5173,Maalox Antacid
893,800-47-0229,PLAGENTRA BABY SUNCITY
894,362-81-0480,Maxidex
895,214-95-3752,good sense pain relief
896,343-52-7391,Fluorouracil
897,527-90-9059,Ergocalciferol
898,607-49-1735,Multi Vitamin with Fluoride
899,501-47-6126,Aspirin
900,705-22-2039,morphine sulfate
901,260-05-9788,By Nature Daily Face Sunscreen
902,316-72-8673,Arrid XX Extra Extra Dry
903,148-39-8883,"Levomefolate Calcium, Acetylcysteine, Mecobalamin and Algal"
904,138-84-1458,Zyprexa
905,669-43-8402,Horse Epithelium
906,253-87-6090,Ibuprofen
907,363-82-3476,Reprexain
908,635-73-4686,SHISEIDO SUNCARE EXTRA SMOOTH
909,249-42-8430,risperidone
910,475-73-5130,Nifedipine
911,415-46-5214,Kendall Moisturizing
912,438-88-3706,ETODOLAC
913,418-82-6361,Antibacterial
914,524-33-6417,Verapamil Hydrochloride
915,449-20-6642,Levemir
916,227-12-0441,SECRETIPSS SCALP HAIR ESSENTIAL BOOSTER
917,222-17-4667,Verapamil Hydrochloride
918,876-84-6825,Diphenhydramine Hydrochloride
919,714-71-7214,Atenolol
920,470-58-1075,Allscale
921,503-94-9088,Poison Oak Ivy
922,326-04-2745,SENNA
923,508-17-2824,Saline Laxative
924,596-58-4878,Health Mart Cough DM
925,687-23-3836,Sumatriptan Succinate
926,784-55-7028,POPULUS ALBA POLLEN
927,362-60-9530,IMADA RED FLOWER ANALGESIC
928,269-66-1897,Tizanidine Hydrochloride
929,799-19-7745,Health Mart Naproxen Sodium
930,541-53-9551,Calmoseptine
931,285-89-9558,Topcare Fiber Laxative
932,731-20-2613,NITROGEN
933,623-21-0786,Childrens Ibuprofen
934,325-69-6044,RITUALS Active Firming Day sunscreen broad spectrum SPF 15 dry skin
935,793-62-5324,ESSENTIAL SOLUTION COENZYME Q10 MASK SHEET
936,655-50-6813,Atenolol
937,473-65-1193,Pramipexole Dihydrochloride
938,267-21-7630,Aveeno Protect Plus Hydrate Sunscreen
939,539-39-3057,"Standardized Grass Pollen, Fescue, Meadow"
940,406-72-0614,Total Body Detox
941,411-28-7524,MARCS
942,207-21-8488,POPULUS DELTOIDES POLLEN
943,740-61-6388,Fluoxetine
944,389-41-9450,Gabapentin
945,466-52-1848,Kit for the Preparation of Technetium Tc99m Disofenin
946,183-16-3743,DILANTIN
947,854-71-3233,Nighttime Sleep Aid
948,113-57-1055,Anti-Bacterial Hand
949,272-13-3531,Humco Castor Oil
950,449-59-4929,Milk of Magnesia
951,586-31-8398,Health Mart nicotine polacrilex
952,499-55-2230,Oxygen
953,443-56-9215,CLINIQUE
954,622-54-3657,Fluorouracil
955,720-19-9232,Nardil
956,340-90-8519,MECLIZINE HYDROCHLORIDE
957,836-97-4564,Heparin Sodium in Dextrose
958,250-88-2368,Non Drowsy Day Time
959,835-01-1188,SYLATRON
960,764-58-3585,RITUALS broad spectrum SPF 15 sunscreen matt finish foundation SHADE 12
961,662-14-1011,oxacillin
962,656-72-5001,Chlordiazepoxide Hydrochloride
963,787-98-2399,Atenolol and Chlorthalidone
964,426-89-4037,good sense tussin
965,313-70-0650,WYANDOTTE SANIFECT E2
966,205-18-3041,Quinapril Hydrochloride
967,770-12-6632,AMITRIPTYLINE HYDROCHLORIDE
968,782-89-6207,Promethazine with Codeine
969,580-58-7774,benzonatate
970,161-13-0974,Multi-Vitamin With Fluoride
971,373-35-6762,Neutrogena MoistureShine SPF20
972,865-40-4962,Red Cedar Pollen
973,875-41-2465,Witch Hazel
974,114-85-6644,PediaCare Infant Fever Pain Reliever
975,452-50-2490,Adoxa
976,409-39-2373,Fluconazole
977,867-71-4963,CAREONE
978,842-48-5853,Amlodipine Besylate and Benazepril Hydrochloride
979,461-45-4109,Arnica e rad. 20
980,603-99-6150,Prednisone
981,379-65-9597,Mirtazapine
982,831-74-7927,SIMPLY RIGHT
983,792-53-2584,Envirostat
984,514-14-0725,Desert Essence Dont Be Rash Diaper Cream
985,759-49-7977,Propranolol Hydrochloride
986,241-14-1793,quetiapine fumarate
987,608-06-4153,Ramipril
988,552-05-3909,Sumatriptan Succinate
989,627-43-7809,Topcare Ibuprofen
990,860-95-7971,clearskin
991,758-77-1606,Prochlorperazine Maleate
992,182-32-7144,MARCS
993,230-75-7378,stila CC color correcting broad-spectrum SPF 20 05 RICH MEDIUM
994,187-67-8249,Meijer
995,527-50-7698,Isopropyl Alcohol
996,539-16-7941,Alcohol Free Foam Sanitizer
997,854-42-9691,BENZOYL PEROXIDE
998,638-56-0881,Kadian
999,407-63-6399,Pleo Fort
1000,456-69-5838,BLACK WALNUT POLLEN
