id,ssn,date_of_visit,cost
736,831-89-1595,03/28/2021,434704
737,367-11-6864,02/17/2021,267223
738,607-59-3830,11/08/2021,396481
739,671-99-3683,07/21/2021,301204
740,106-49-9473,03/08/2021,755962
741,423-10-7070,02/21/2021,641971
742,147-30-5144,09/28/2022,324095
743,483-88-0574,12/30/2020,11932
744,875-26-2129,05/17/2021,414614
745,720-31-4610,08/04/2023,415257
746,710-62-8000,02/27/2021,872111
747,451-40-1906,12/07/2020,316852
748,837-05-9039,10/07/2022,105827
749,164-25-7102,04/14/2022,664172
750,451-26-3983,03/14/2023,348700
751,788-08-1042,07/06/2021,57770
752,758-50-6127,10/22/2021,324612
753,403-82-5116,04/29/2023,522588
754,185-20-3622,02/16/2022,428929
755,145-10-0809,01/06/2023,851867
756,483-53-7803,05/11/2023,297012
757,303-71-5333,02/25/2022,414915
758,782-55-4906,07/31/2023,10235
759,719-12-9803,09/05/2022,111601
760,109-29-7715,03/24/2022,607883
761,375-27-2624,08/14/2022,301154
762,769-84-6895,04/03/2021,825947
763,888-04-1198,02/28/2021,738515
764,287-77-4591,12/10/2020,535303
765,301-09-9082,04/16/2023,468923
766,653-99-8190,07/10/2022,584535
767,260-76-9081,11/24/2023,986236
768,257-64-6228,07/01/2023,46747
769,728-34-4459,03/04/2022,270254
770,774-76-8087,10/22/2022,468640
771,560-52-1594,05/29/2021,312957
772,757-51-3407,09/05/2022,7704
773,570-07-7071,02/19/2021,542957
774,890-07-6980,04/28/2023,134099
775,741-24-9325,07/10/2023,318925
776,135-25-7127,03/12/2022,533239
777,103-90-2610,06/10/2022,66113
778,125-19-0864,09/25/2021,977638
779,504-46-1612,04/23/2023,562988
780,487-43-5884,09/14/2023,459956
781,540-95-6169,03/11/2023,605435
782,771-63-5587,10/05/2022,191113
783,771-80-4891,02/10/2023,220645
784,717-03-5537,10/30/2022,499881
785,734-34-9039,11/11/2023,968670
786,803-43-2044,06/02/2021,404897
787,863-88-3072,01/10/2023,461515
788,659-77-4395,05/12/2021,607718
789,751-20-8504,03/14/2022,385020
790,648-94-9807,02/07/2022,699915
791,689-64-0982,09/07/2021,656481
792,286-31-9898,09/10/2023,881850
793,281-43-3264,11/13/2022,253535
794,221-04-2480,04/20/2023,98701
795,808-11-7412,11/16/2021,267706
796,141-95-2216,06/23/2021,754603
797,813-81-0839,07/10/2023,272116
798,296-81-6605,08/18/2023,234566
799,494-86-2304,04/06/2023,281316
800,386-22-9716,09/20/2022,801228
801,552-62-3807,03/22/2022,325070
802,489-66-0840,12/20/2020,739230
803,353-78-6064,05/05/2023,886727
804,791-53-7151,08/29/2021,815912
805,443-58-4352,09/02/2021,554813
806,557-93-0829,04/28/2022,854962
807,634-99-0956,01/02/2022,911819
808,356-41-4331,11/10/2023,713147
809,198-94-0347,08/04/2021,677922
810,892-22-8437,05/15/2021,621284
811,708-35-5455,08/24/2022,661239
812,184-33-3929,12/11/2021,799156
813,668-55-6522,06/15/2022,649583
814,642-24-2027,12/23/2020,188701
815,656-37-8666,03/14/2023,756621
816,131-77-1215,02/10/2021,437900
817,189-89-2847,05/28/2023,780025
818,181-51-9489,12/26/2020,656286
819,824-29-1813,01/14/2023,846998
820,158-01-2017,04/19/2022,485998
821,749-88-3152,04/01/2022,282941
822,723-61-1957,07/11/2022,26300
823,270-26-1376,06/14/2023,667325
824,620-01-1657,08/16/2022,457641
825,111-88-1367,05/28/2022,428228
826,365-64-4260,09/30/2021,15008
827,681-91-8899,03/14/2023,307206
828,826-53-8494,02/20/2023,673442
829,500-99-1463,01/14/2021,578455
830,220-44-1377,10/24/2022,307857
831,723-34-3819,01/07/2022,453373
832,722-69-6587,01/13/2023,404817
833,599-50-9549,10/13/2021,176002
834,490-07-9171,11/23/2021,862883
835,570-53-0904,05/22/2023,991857
836,260-12-3570,11/06/2021,975907
837,397-81-9129,02/14/2021,687558
838,829-07-8127,05/11/2021,583172
839,686-54-9648,12/01/2021,415697
840,189-55-0204,11/04/2021,719811
841,125-57-0290,05/23/2023,841333
842,863-50-7668,01/19/2022,888098
843,892-85-2003,08/23/2023,574349
844,878-82-4539,03/20/2022,482557
845,781-68-1474,05/15/2021,59158
846,252-84-2782,06/24/2022,448975
847,837-05-8352,10/18/2022,437994
848,890-57-7398,07/06/2022,536896
849,114-73-9154,07/14/2022,416287
850,193-91-0317,05/15/2021,265821
851,700-75-0355,10/05/2023,759815
852,161-77-7021,06/19/2022,389118
853,664-85-9344,07/31/2021,906809
854,522-71-0146,02/05/2023,273949
855,275-26-2199,05/27/2021,950563
856,103-05-2920,08/08/2022,260896
857,603-24-6803,09/30/2023,488893
858,556-39-6986,09/29/2022,121308
859,182-50-2279,05/26/2023,355684
860,686-64-8808,07/24/2023,570146
861,410-43-8760,12/18/2022,764138
862,818-62-0014,07/30/2022,361844
863,234-38-0648,02/25/2022,399324
864,373-51-0616,07/12/2021,148609
865,154-79-3655,10/14/2022,122829
866,665-50-1725,02/10/2021,937590
867,148-99-4078,05/22/2023,401419
868,549-14-3370,10/09/2021,76312
869,544-81-4871,03/08/2022,982123
870,541-59-0016,01/20/2021,394067
871,388-93-7390,08/22/2021,686631
872,257-66-7087,07/31/2021,202432
873,333-66-0334,01/30/2021,305501
874,470-36-6184,05/25/2022,851717
875,562-89-6435,01/02/2021,847114
876,117-79-5231,10/22/2023,357442
877,219-33-0573,08/18/2023,443709
878,528-01-5947,02/20/2023,26813
879,828-10-2211,10/18/2023,635513
880,103-31-2614,03/05/2022,15675
881,682-44-4920,10/19/2023,394824
882,407-48-1669,05/23/2021,933118
883,231-73-3331,08/22/2021,872293
884,441-55-3706,09/26/2021,28438
885,251-18-1293,04/06/2023,628175
886,126-92-4568,08/21/2021,305908
887,208-45-8371,05/31/2022,883908
888,588-69-5926,12/28/2021,551038
889,749-99-1738,02/07/2022,555747
890,159-42-7221,08/17/2023,720872
891,857-33-1953,08/27/2022,99803
892,478-20-7580,05/09/2022,255668
893,253-56-3565,02/28/2022,123420
894,691-65-4455,02/20/2023,232343
895,711-89-8758,02/22/2023,968892
896,616-12-7737,11/16/2023,195703
897,698-03-3199,05/05/2022,64906
898,242-68-6966,02/06/2022,25367
899,344-81-5811,07/18/2021,829069
900,315-61-9572,02/01/2023,487917
901,135-29-9287,07/07/2022,701439
902,333-29-0377,05/30/2021,979588
903,395-16-5428,02/02/2023,283891
904,175-31-8708,01/17/2023,167367
905,669-32-1023,05/20/2023,37162
906,115-06-4364,03/28/2021,405609
907,249-80-5301,02/20/2022,903998
908,424-77-9510,01/01/2021,650058
909,292-62-4131,02/04/2023,454893
910,160-20-8308,02/22/2022,949066
911,373-92-2387,12/13/2022,578669
912,507-97-9417,04/16/2022,609858
913,554-54-3557,08/13/2021,711722
914,619-51-5327,05/04/2021,760401
915,656-78-6769,03/22/2022,478734
916,548-35-5796,12/24/2022,885366
917,180-95-5237,03/05/2023,99265
918,237-06-0070,05/01/2022,73415
919,494-91-6088,08/03/2023,343246
920,230-13-0203,02/15/2021,507959
921,195-14-5821,03/19/2022,434757
922,346-50-4275,07/21/2021,750416
923,635-31-8228,09/30/2021,948201
924,220-67-7620,02/12/2023,673131
925,174-27-9770,01/17/2022,875275
926,583-82-7662,02/06/2021,975194
927,312-99-2511,01/08/2023,703970
928,433-84-4169,09/10/2021,48167
929,554-45-7826,11/14/2021,233724
930,807-03-1240,04/03/2023,190196
931,142-83-6310,09/01/2021,743736
932,396-73-6916,11/19/2023,335544
933,191-49-1328,08/03/2022,21124
934,345-34-4122,07/01/2023,207001
935,668-91-9037,08/25/2022,310589
936,144-65-0316,11/06/2023,438417
937,367-90-1692,03/03/2021,217423
938,219-02-1956,01/15/2021,992267
939,234-99-8460,12/02/2021,300440
940,524-83-1840,08/10/2022,289632
941,249-97-8033,02/24/2022,986755
942,371-41-1495,12/10/2020,79942
943,747-10-8224,11/29/2022,803795
944,576-24-2044,02/22/2021,778491
945,747-73-6866,05/19/2022,234222
946,306-88-8899,10/22/2023,738443
947,299-24-0074,10/08/2022,946763
948,866-54-1622,10/14/2023,639135
949,355-48-2385,11/16/2023,537089
950,870-06-2380,08/23/2023,523146
951,700-03-7276,07/28/2022,158926
952,828-36-1347,01/15/2022,637156
953,405-55-0609,03/18/2022,968163
954,113-66-2901,07/13/2023,775859
955,162-39-6994,06/10/2021,303631
956,341-59-7205,05/07/2022,331610
957,151-65-1680,10/07/2023,922250
958,297-58-0607,12/19/2020,989051
959,290-24-6013,01/21/2021,225954
960,876-35-4487,02/23/2022,921518
961,331-80-5327,10/06/2022,376270
962,766-17-1290,04/18/2022,802826
963,247-90-1014,05/01/2021,674570
964,506-87-4411,03/24/2021,897988
965,224-08-6869,12/26/2022,24595
966,202-79-3608,01/15/2021,901085
967,687-66-6042,12/29/2021,121409
968,587-32-6205,04/28/2022,748739
969,777-47-2253,11/23/2021,787933
970,262-34-4214,06/18/2021,59907
971,206-64-7195,01/13/2022,582439
972,111-34-4599,04/24/2022,996830
973,687-67-2302,02/26/2021,999583
974,414-67-9865,01/05/2022,161550
975,516-46-9569,03/12/2023,651191
976,151-56-9368,10/15/2021,701759
977,570-88-1247,07/23/2022,847904
978,675-03-4100,05/24/2023,208062
979,285-18-9524,02/03/2021,146812
980,167-40-5484,12/07/2021,26592
981,689-43-7899,10/08/2022,665070
982,133-61-4499,02/10/2022,56201
983,514-04-8973,04/01/2021,855623
984,551-27-5555,07/02/2023,175488
985,652-79-3587,06/17/2023,812380
986,686-59-2259,09/06/2021,580059
987,286-48-8588,02/28/2021,504474
988,776-17-1841,01/16/2023,44533
989,120-69-6716,05/23/2022,204521
990,780-31-1692,08/09/2023,405418
991,385-83-8226,01/16/2022,134172
992,103-54-4540,09/03/2021,556323
993,570-09-7654,10/20/2023,80312
994,569-34-9135,12/28/2022,508250
995,288-41-2461,12/19/2021,770319
996,141-80-5409,11/09/2023,62463
997,592-71-3380,07/25/2023,566824
998,369-10-6699,02/20/2022,593409
999,275-79-2638,06/06/2022,953657
