id,ssn,date_of_visit,cost
736,363-95-4727,07/16/2021,579372
737,717-76-4543,07/30/2022,294256
738,641-45-2320,09/25/2022,265317
739,412-66-8502,12/23/2022,588577
740,321-23-3620,05/15/2022,949456
741,439-73-8908,08/06/2023,689392
742,731-06-9576,02/03/2022,744523
743,577-96-2530,10/23/2023,9375
744,823-48-7437,08/06/2023,227997
745,681-17-4971,01/18/2022,696860
746,470-11-0203,03/23/2023,777029
747,765-72-7865,10/12/2022,839435
748,617-78-0014,08/31/2023,157823
749,855-11-7494,09/18/2022,189762
750,661-20-3207,01/18/2023,654176
751,271-50-8258,04/30/2023,162516
752,664-23-8271,12/25/2022,655584
753,561-64-3754,06/06/2021,200813
754,470-65-2793,12/15/2022,702842
755,583-06-7472,07/06/2023,65943
756,776-50-8969,12/10/2021,767732
757,385-86-7384,03/22/2022,370909
758,613-46-9815,12/31/2021,760474
759,378-44-7699,02/11/2023,116297
760,427-56-3926,09/18/2022,697588
761,357-11-8998,01/31/2022,229658
762,587-21-9422,08/20/2021,971954
763,299-54-7294,07/13/2023,3365
764,790-59-0992,07/28/2021,893436
765,185-51-2675,02/04/2023,660915
766,568-75-6366,09/10/2021,793525
767,154-67-1866,09/19/2021,883233
768,577-10-1805,04/20/2022,112928
769,849-47-9513,03/10/2022,600949
770,775-88-0279,07/05/2022,620133
771,137-55-4903,08/13/2023,134922
772,417-56-9065,04/07/2023,876312
773,708-02-7657,08/23/2023,152953
774,374-17-8195,08/25/2021,501081
775,891-71-6762,06/04/2021,444636
776,522-58-8433,01/04/2022,647158
777,609-57-8462,07/17/2021,388911
778,486-82-9842,05/21/2021,529135
779,190-64-1044,03/08/2021,380882
780,702-90-7523,04/14/2021,499110
781,408-57-6885,07/27/2023,106354
782,321-13-3187,07/07/2021,580574
783,771-74-6948,07/06/2021,130870
784,252-64-0271,06/14/2021,450477
785,517-84-8793,09/20/2021,978556
786,112-19-6590,09/19/2022,296280
787,225-62-2532,05/10/2022,905012
788,315-51-0983,05/31/2022,720534
789,281-26-1941,03/12/2022,418780
790,209-54-0438,12/04/2023,132561
791,543-43-1341,04/04/2021,236989
792,177-14-1726,04/18/2023,911583
793,327-58-6439,01/07/2021,915539
794,669-17-7538,06/30/2022,98344
795,464-97-2745,09/20/2023,589518
796,239-09-4923,09/21/2021,892000
797,214-57-0877,08/06/2022,152434
798,749-17-5844,08/02/2021,895869
799,524-92-7670,03/12/2022,939741
800,314-63-9635,05/18/2022,801085
801,335-33-1898,01/16/2023,238916
802,759-68-2442,02/22/2023,908973
803,229-99-2804,04/04/2021,323261
804,286-39-3164,12/30/2022,902876
805,514-40-5164,02/06/2022,775638
806,674-82-2276,05/21/2022,271219
807,427-92-5167,03/17/2021,181905
808,413-05-7114,10/20/2022,438152
809,822-67-0589,03/18/2021,2027
810,451-47-6323,01/10/2023,618169
811,685-08-2729,01/24/2022,560540
812,767-08-4569,07/20/2022,683583
813,305-77-9221,10/07/2023,8239
814,609-24-1371,11/30/2023,662457
815,394-31-2827,03/18/2021,474485
816,795-12-1112,10/14/2021,414186
817,358-43-9980,10/17/2021,719547
818,263-13-6550,12/20/2020,508873
819,252-79-9904,09/06/2022,59056
820,182-05-3398,12/18/2020,77611
821,234-44-2396,02/06/2021,386385
822,321-82-7596,12/11/2020,697896
823,462-96-7632,08/15/2023,171315
824,126-31-4184,12/29/2020,342790
825,263-15-8372,05/24/2022,939512
826,219-64-7476,07/20/2022,795297
827,405-50-5747,12/20/2022,840922
828,718-66-6040,02/18/2022,459970
829,681-61-1640,04/18/2023,627963
830,815-40-8553,10/04/2023,327719
831,473-11-1996,07/22/2023,815662
832,285-20-5663,02/06/2022,424557
833,569-95-8467,06/21/2023,437155
834,897-54-9101,11/05/2023,603157
835,818-86-8594,12/19/2020,199325
836,360-21-9721,04/13/2022,90287
837,859-08-5603,05/16/2022,64051
838,210-64-8146,07/31/2023,577306
839,717-71-2858,02/16/2021,494648
840,290-85-8969,10/03/2022,60029
841,177-15-3504,06/15/2022,881595
842,801-78-3425,02/28/2021,191507
843,292-37-4703,02/20/2022,729525
844,198-16-8394,06/22/2022,222925
845,541-88-4732,05/29/2021,794717
846,835-34-0307,05/27/2022,700214
847,299-34-7027,08/28/2023,541089
848,812-64-6925,01/24/2023,102569
849,192-30-8793,01/11/2023,155948
850,793-48-5974,08/15/2023,9601
851,254-03-3611,08/01/2022,741538
852,256-10-6132,01/30/2021,202702
853,206-10-5266,02/06/2023,163205
854,280-21-3368,01/11/2021,176402
855,366-62-8743,07/20/2022,159616
856,128-82-1854,04/04/2022,911066
857,133-95-2871,03/15/2021,834064
858,779-27-0119,11/29/2021,357215
859,221-07-3132,01/13/2023,754068
860,528-24-4535,12/23/2022,773813
861,349-28-3646,01/18/2023,302183
862,814-09-9596,03/20/2022,909736
863,607-34-0585,10/06/2023,961522
864,706-58-6297,12/01/2022,26362
865,500-84-1893,06/08/2021,228476
866,273-15-7634,03/20/2023,211672
867,390-35-7435,09/07/2022,462363
868,104-77-2061,07/24/2021,596814
869,797-45-0550,01/25/2023,747915
870,242-39-2001,05/27/2021,511186
871,250-38-8312,04/16/2021,529617
872,155-97-1490,01/08/2021,589970
873,228-12-6671,03/03/2021,727419
874,414-33-1874,08/12/2023,245849
875,250-61-3516,04/12/2021,157287
876,199-94-3371,01/20/2023,595034
877,704-34-2809,05/29/2022,210808
878,885-81-7978,06/15/2021,54349
879,346-27-0931,04/08/2021,107745
880,763-37-7477,09/03/2021,750966
881,212-30-3706,08/13/2023,23898
882,680-62-3934,03/17/2022,533682
883,379-61-6496,06/27/2023,170263
884,329-23-0315,01/03/2022,740243
885,125-57-5363,02/19/2023,159813
886,637-60-5788,06/10/2023,667244
887,224-07-7392,06/23/2023,272821
888,650-57-6848,10/15/2022,139611
889,504-10-7633,12/13/2021,132759
890,263-20-9111,11/30/2023,651675
891,224-60-4932,06/05/2021,467920
892,382-53-6782,07/13/2023,597902
893,897-20-7866,05/06/2021,999002
894,780-46-0295,11/24/2022,634483
895,148-32-9046,05/20/2021,988045
896,866-56-4602,04/02/2022,453497
897,675-08-7520,02/26/2022,840660
898,175-89-0352,12/24/2022,750042
899,829-48-3385,06/15/2022,480079
900,631-34-3852,07/15/2021,653190
901,282-29-4101,10/30/2022,302466
902,652-22-1813,12/23/2022,596333
903,221-19-4864,01/31/2021,644705
904,894-38-5335,12/08/2021,169356
905,546-32-5833,07/31/2022,464169
906,442-30-4510,05/29/2023,870432
907,773-48-6955,11/15/2023,453327
908,165-19-2045,01/20/2022,513286
909,406-27-5493,11/13/2021,988757
910,473-56-5162,07/21/2022,148376
911,625-77-3192,06/14/2022,974315
912,124-69-9564,02/27/2022,835257
913,475-66-4076,01/25/2021,549736
914,356-13-5436,03/10/2023,878152
915,133-27-6124,04/22/2023,762571
916,183-97-8262,04/07/2023,48049
917,701-98-2819,02/10/2021,339704
918,679-07-1818,12/06/2021,796857
919,752-94-0119,02/23/2022,664979
920,369-14-3894,10/14/2021,193902
921,402-82-5595,05/10/2022,664773
922,561-74-7054,01/19/2021,167040
923,411-90-3294,01/21/2021,965811
924,311-87-4266,03/08/2022,885195
925,108-56-6761,08/27/2022,833937
926,533-47-4569,09/22/2022,128439
927,754-18-3141,08/12/2021,760549
928,618-50-5045,04/11/2023,931991
929,340-10-4766,04/24/2022,4359
930,178-23-2026,06/30/2023,802370
931,179-43-7623,12/04/2021,63966
932,458-23-9576,11/20/2022,990291
933,796-19-8315,07/18/2023,192425
934,639-20-3117,05/03/2021,587826
935,165-49-0540,05/20/2022,421187
936,284-31-8281,11/03/2022,714044
937,242-38-5611,06/30/2023,180313
938,155-44-2307,10/30/2022,940858
939,610-17-8051,11/09/2021,346149
940,804-47-0584,02/02/2023,601216
941,311-41-9686,06/09/2023,339720
942,724-51-6995,06/16/2021,471686
943,482-19-9722,10/13/2023,374587
944,543-97-1502,12/20/2022,137275
945,594-46-8227,10/20/2023,687215
946,609-87-6903,02/03/2022,703043
947,509-52-5598,09/12/2023,860318
948,614-89-9324,11/19/2022,380417
949,881-13-5325,11/17/2021,358275
950,489-37-8371,11/10/2022,444571
951,536-04-7709,03/29/2023,371328
952,253-42-9805,09/05/2021,826573
953,531-91-4091,03/09/2022,96200
954,191-08-4844,06/03/2023,551536
955,602-23-7153,07/28/2023,936903
956,383-62-0754,09/11/2022,304135
957,412-35-4527,03/03/2022,873192
958,165-80-9104,05/22/2021,151787
959,108-37-7360,01/05/2023,744197
960,809-23-1469,06/12/2022,907312
961,373-38-8182,09/23/2023,123140
962,446-45-3413,09/04/2021,110921
963,444-97-8603,01/24/2022,487968
964,604-93-4594,06/14/2023,422191
965,163-98-5264,12/25/2022,380638
966,321-91-0093,02/27/2021,80707
967,494-25-1128,11/01/2021,891471
968,565-65-8818,11/10/2022,36416
969,640-09-3815,06/06/2023,877790
970,632-43-7627,12/02/2022,720407
971,233-18-6799,02/15/2022,590314
972,790-34-3293,08/16/2023,664211
973,263-80-7925,06/13/2022,513018
974,251-47-0738,05/05/2022,831228
975,217-97-5035,03/27/2021,721013
976,287-97-4190,11/20/2023,13314
977,139-90-8303,08/08/2022,863829
978,367-77-9143,01/24/2021,759413
979,181-37-6547,07/20/2021,520283
980,876-86-4125,06/02/2023,809822
981,426-67-4163,10/05/2022,499360
982,348-16-1190,05/01/2022,981561
983,776-67-8999,07/03/2022,108939
984,856-65-7463,12/30/2021,55055
985,117-53-4365,08/09/2021,36204
986,838-59-5466,09/27/2023,631043
987,725-32-4078,02/16/2022,477145
988,652-40-6932,09/15/2022,70333
989,706-03-4979,10/02/2022,688819
990,341-93-0580,11/19/2021,422817
991,227-81-9300,05/24/2021,860531
992,411-43-0326,03/16/2021,634337
993,753-90-1921,09/28/2023,190589
994,747-40-4588,02/23/2021,674264
995,121-95-6013,08/13/2021,149657
996,541-51-2505,11/10/2021,922095
997,268-64-0044,06/05/2023,652253
998,392-73-6931,02/17/2021,31616
999,172-58-3029,08/24/2023,840226
1000,807-61-7402,11/14/2023,92782
