id,snn,medication
664,842-83-6859,Aggrenox
665,332-23-1943,Allopurinol
666,483-36-8192,ENPRESSE
667,771-83-5582,Carduus Oxalis
668,301-02-2084,Alendronate Sodium
669,435-56-3583,Zicam
670,862-71-6413,Mary Kay Tinted Moisturizer Sunscreen SPF 20 Bronze 1
671,545-97-3161,Hydrogen Peroxide
672,245-93-4308,ASSURED ORIGINAL RELIEF EYE
673,844-53-7944,Additox
674,200-39-2748,Anzemet
675,434-57-3646,AQUAFRESH
676,377-62-1871,Lady Speed Stick
677,108-90-2157,MBM 3 Heart Shock
678,633-24-3251,Ustell
679,515-63-7458,Neutrogena MoistureShine SPF20
680,711-64-4994,EROS ANAL SILICONE GLIDE
681,213-35-8395,Symphytum Stannum
682,455-18-2103,Bupropion Hydrochloride
683,452-40-3145,Sodium Phenylbutyrate
684,468-91-0146,risperidone
685,549-66-6740,Vaporizing
686,587-20-7869,Benzoyl peroxide short contact
687,320-19-0562,"Pollens - Trees, Hackberry Celtis occidentalis"
688,154-25-1253,Pentasa
689,596-25-0104,Rite Aid RENEWAL Sport
690,280-14-3367,NeoStrata Skin Active Matrix Support
691,695-04-7711,Fremont Cottonwood
692,285-01-5493,Purpose
693,344-30-9682,DEXTROAMPHETAMINE SULFATE
694,617-37-6789,Curvularia
695,895-38-9023,Cryptotox Combo
696,498-38-0902,ALTHAEA OFFICINALIS
697,642-77-1202,Alcis Daily Relief Pain Relief
698,379-51-0242,health mart adult tussin
699,341-06-7406,Black Birch
700,412-04-9748,Sunmark Infants Pain and Fever
701,614-75-1437,Homeopathic Sinus Relief Formula
702,162-92-3830,Fluoxetine
703,507-87-1400,Bupropion Hydrochloride
704,804-13-0974,PediaCare Childrens Plus Flu
705,472-38-6839,Metoprolol Tartrate
706,305-40-7025,Milrinone Lactate
707,431-53-7463,Lorazepam
708,869-79-7862,Cefaclor
709,746-05-8687,PHAZYME
710,686-46-0810,Dermazor
711,184-25-2980,CACTUS GRANDIFLORUS
712,844-04-5866,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
713,125-42-8603,CTx4 Gel 5000
714,701-29-3306,sumatriptan succinate
715,580-04-3577,Personal Care
716,144-07-4564,Allerforce
717,102-97-4535,Tekturna HCT
718,651-47-8822,Extra Strength Pain Reliever PM
719,122-77-6665,Perphenazine
720,279-68-7351,Ocean Potion Instant Dry 30 Mist Sport Sunscreen
721,794-31-3563,Fentanyl
722,297-92-1837,Ginger Lime Waterless Hand Wash
723,886-90-7219,Topcare Day time cold and flu relief
724,346-93-9690,Bengay Ultra Strength
725,242-02-5712,Protectyl soleil moisturizing sunscreen lotion high protection spf 30
726,884-73-6337,Carvedilol
727,357-83-4017,Hypertensolol
728,795-32-7805,Fluconazole
729,107-83-9050,COMBIVIR
730,587-15-5321,Cover Fx Blemish Treatment Concealer N Med-Deep
731,638-47-6151,sunmark nicotine
732,140-96-6401,Sertraline Hydrochloride
733,882-37-1025,Kank-A
734,154-26-3882,AMOREPACIFIC
735,665-73-7190,Walgreens night time wal-flu severe cold and cough
736,408-67-9711,up and up eye itch relief
737,310-42-6388,perfect truth cc broad spectrum SPF 30 sunscreen
738,880-44-9580,Sepia 30c
739,311-73-2279,COW MILK
740,614-65-6987,Hydro 35
741,548-19-9907,Gynol II
742,112-27-9641,lice
743,136-82-3614,Childrens Ibuprofen
744,414-15-2413,HELLO FLAWLESS OXYGEN WOW Broad Spectrum SPF 25 BRIGHTENING MAKEUP - Im So Glamber
745,234-88-0401,Clopidogrel
746,659-33-8936,Sunblock
747,721-31-4535,Ibuprofen
748,445-43-8276,Doxazosin
749,283-91-7942,Hydrocodone Bitartrate and Acetaminophen
750,501-16-0336,Mucus Relief PE
751,734-60-5799,Drainage-Tone
752,786-73-3494,ZOLPIDEM TARTRATE
753,469-55-4882,PLAGENTRA SOOTHING REVOLUTION BB
754,272-76-7372,Warfarin Sodium
755,634-56-9148,TobraDex
756,183-58-0034,Tekturna
757,672-39-3828,Kadian
758,155-49-8659,HAND SANITIZER
759,714-88-4717,Fosrenol
760,407-60-1421,good sense miconazole 1
761,786-92-3827,Sheep Sorrel
762,276-62-0300,Prednisone
763,585-57-8393,Omega Pain Relieving
764,756-58-7437,91 Percent Isopropyl alcohol
765,768-15-7391,Leader Milk of Magnesia
766,174-69-8064,TOPROL
767,164-91-2716,CENTER-AL - ATRIPLEX WRIGHTII POLLEN
768,685-61-1729,Sleep Eezzz
769,636-17-1484,Olanzapine
770,151-44-2702,Pancreas Equisetum
771,424-35-3445,isosorbide mononitrate
772,614-11-0042,Glytone Acne
773,285-65-2808,Pfizerpen
774,735-01-1792,Avapro
775,731-11-4002,Mitomycin
776,657-46-1933,Medicated Wipes
777,536-72-1247,CardinalHealth alcohol prep pads LARGE
778,238-85-5655,Prevacid
779,120-18-3335,Orajel Instant Pain Relief
780,757-28-8936,Divalproex Sodium
781,374-66-9838,Rheumatoid Arthritis Nosode
782,140-33-1071,3LAB PERFECT Lite Sunscreen SPF 30 Broad Spectrum
783,111-16-0324,Clorazepate dipotassium
784,115-43-5513,Apis Gelsemium
785,724-06-8674,Losartan Potassium and Hydrochlorothiazide
786,635-15-1230,BenoxylDoxy 30 Kit
787,641-33-4448,Family Dollar Roll-On Deodorant
788,899-60-4772,Moisturizer
789,430-99-0942,Propranolol
790,439-33-5035,EPIVIR
791,861-21-0260,LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15
792,591-38-4809,Propoxyphene and Acetaminophen
793,147-40-4741,Pantoprazole Sodium
794,877-41-2704,Terrestristat
795,560-66-8784,Loxapine Succinate
796,369-66-2679,Animi-3 with Vitamin D
797,258-30-0337,Amiodarone Hydrochloride
798,793-89-8951,Muscle Rub
799,474-27-1107,THINKSPORT
800,392-86-5420,Winter Vanilla Hand Sanitizer
801,747-79-6448,Diazepam
802,295-87-1840,AVALIDE
803,761-91-7220,Mandarin Nectar Antibacterial Foaming Handwash
804,359-34-0296,Alka-Seltzer Plus
805,579-04-2812,Lansoprazole
806,492-14-3954,Citrus Quartz
807,848-49-8068,Simethicone
808,497-88-0278,flormar BB Sheer Tinted Beauty Sunscreen Broad Spectrum SPF 15 04 Medium Beige
809,856-09-6961,nifedipine
810,227-91-2101,"Neomycin and Polymyxin B Sulfates, and Bacitracin Zinc"
811,277-13-0680,Instant Hand Sanitizer With Moisturizers
812,374-22-1561,Conjunct-a-Clear
813,764-65-3902,RIte Aid
814,801-94-9311,Chloroquine
815,109-87-2905,Moexipril Hydrochloride and Hydrochlorothiazide
816,356-14-7744,"Animal Allergens, AP Cattle Hair and Dander"
817,140-80-5217,ENALAPRIL MALEATE
818,153-35-1355,Amoxicillin
819,400-65-7245,Hydrocodone Bitartrate and Acetaminophen
820,422-28-9064,Fluticasone Propionate
821,176-03-6145,Torsemide
822,316-34-6293,KIDS RELIEF CALENDULA
823,171-68-9546,Zolpidem tartrate
824,485-01-0897,Mirtazapine
825,810-70-1319,NBE Cool Mint
826,499-54-4856,IBU
827,559-86-0800,Benazepril Hydrochloride
828,490-01-3728,fluorodine ACTIVE fresh Fluoride Anticavity
829,445-28-7487,Jafra Brightening
830,136-84-9608,Stibium 20 Special Order
831,619-37-7974,Carimune
832,675-26-6021,Suave Tropical Paradise
833,692-13-3399,Duloxetine
834,256-64-9580,Sinusalia
835,127-59-8216,Healthy Accents 12 Hour Nasal Decongestant
836,404-42-7984,Healthy Accents Cold Sore Treatment
837,813-53-0345,Norco
838,508-72-7213,Lemon Zest Antibacterial Foaming Hand Wash
839,750-82-4022,EO HAND SANITIZER
840,276-06-8722,Cortisporin
841,525-05-5303,Special Clearing Booster
842,145-35-2773,Temozolomide
843,429-56-0223,Calcium
844,571-47-5937,Nitroglycerin
845,574-78-8309,elements anti aging vitamin complex
846,557-12-7996,HGH Complex
847,148-94-7792,Hydrogen Peroxide
848,714-64-2082,CVS Pharmacy
849,353-31-9221,ISENTRESS
850,370-89-2668,SBS 40 Medicated Cream
851,842-81-2496,Benztropine Mesylate
852,300-31-6980,Terrasil Wart Treatment
853,886-35-3620,Tropicamide
854,195-84-6652,Otozin
855,351-35-2260,DIANEAL Low Calcium with Dextrose
856,395-82-0378,Infants Ibuprofen
857,141-81-5457,BETAGAN
858,106-32-4130,Tangerine
859,710-35-6729,La Roche-Posay Laboratoire Pharmaceutique Rosaliac UV
860,667-57-9509,GODDESS GARDEN ORGANICS Sunny Face NATURAL SUNSCREEN BROAD SPECTRUM SPF 30 WATER RESISTANT
861,457-25-2576,MIDODRINE HYDROCHLORIDE
862,513-09-7917,SERTRALINE HYDROCHLORIDE
863,507-34-9783,VECURONIUM BROMIDE
864,634-86-2892,Treatment Set TS334128
865,130-80-6472,Azithromycin
866,262-65-7994,Topcare Nasal Decongestant
867,559-54-8514,COMBIVIR
868,500-78-9626,VIVITE Aftercare Environmental Protection Sunscreen SPF 30
869,651-46-9157,Clonidine
870,204-93-3794,CANCIDAS
871,641-47-0974,pain relief
872,686-69-1259,Metformin Hydrochloride
873,235-74-9014,Lamotrigine
874,795-35-4290,SANITIZER
875,400-50-2500,Betapace AF
876,279-06-0178,FRESH DECOR
877,727-38-6301,Doxycycline Hyclate
878,766-42-3311,Methylprednisolone
879,886-38-4553,Carimune
880,318-59-2520,Estradiol
881,125-83-4983,KANKA
882,548-87-5215,Alba Hawaiian Green Tea Sunblock SPF 45
883,756-35-8546,Neutrogena SkinClearing
884,473-54-1898,PRENATAL CHELATED MINERAL
885,647-99-9131,Acnecycline
886,447-97-6999,Theophylline
887,305-80-4829,Guinea Pig Hair
888,157-24-3099,TAXOTERE
889,770-42-2060,Metformin Hydrochloride
890,880-03-0207,Chinese Elm
891,753-44-2873,EpiPen
892,187-68-7353,Dial Complete Antibacterial Foaming Hand Wash with Lotion
893,531-58-8696,Nitrostat
894,472-52-3546,LISINOPRIL AND HYDROCHLOROTHIAZIDE
895,685-20-0948,Nighttime Sleep Aid
896,390-39-5999,Mozobil
897,561-46-1010,Robinul Forte
898,462-85-6592,Etodolac
899,111-68-7309,Night Time Cherry
900,238-02-7055,Clearasil Ultra
901,726-47-4353,Clario Foaming Alcohol Instant Hand Sanitizer
902,778-14-2895,"Pollens - Trees, Oak, Red Quercus rubra"
903,653-37-0310,Vivelle Dot
904,633-76-6222,Severe Congestion and Cough MAX
905,696-40-4459,Risperidone
906,739-35-4664,Alprazolam
907,579-02-5913,Solu-Cortef
908,719-14-0697,Goodys Back and Body Pain
909,771-94-4127,ISOVUE
910,328-83-2379,CHAPSTICK CLASSICS ORIGINAL
911,457-04-3610,Timewise Day Solution sunscreen SPF 35 14ml
912,332-33-9165,Amitriptyline Hydrochloride
913,689-82-8493,Enalapril Maleate
914,723-04-9210,Anti-Bacterial Gentle Foaming Hand
915,860-96-6826,Magnesium Citrate
916,670-09-9416,"Food - Fish and Shellfish, Codfish Gadus callarias"
917,676-65-4738,Melvita PROSUN High protection sunscreen Broad Spectrum SPF 30
918,210-84-9253,Ramipril
919,156-75-5886,Up and Up all day allergy relief d
920,270-55-0822,Emetrol Cherry
921,458-86-0782,Amlodipine Besylate
922,340-49-2963,Unithroid
923,428-89-3521,childrens cold and allergy relief
924,678-99-4684,Triple Antibiotic
925,772-23-0731,CAREALL Naproxen
926,181-12-1263,CARROT
927,476-01-3432,Hydroxyzine Pamoate
928,630-82-8034,Knuckle Under Medicated
929,427-50-1647,HYDRALIFE BB CREME Enhancing Moisturizer For Immediate Beauty SPF 30
930,397-38-4675,Topcare hemorrhoidal
931,644-13-7647,VENLAFAXINE HYDROCHLORIDE
932,488-92-6362,Levothyroxine Sodium
933,611-76-8910,Hydrocodone Bitartrate and Ibuprofen
934,713-37-4369,Glycopyrrolate
935,292-10-1996,Salsalate
936,435-25-6132,Conazol
937,412-45-6461,IQ Derma regiMEN Hydrating UV Shield
938,451-43-3532,bareMinerals Prime Time BB Primer Daily Defense Broad Spectrum SPF 30
939,334-39-9292,Senna
940,495-29-5376,BETULA LENTA POLLEN
941,290-07-9844,Rhizopus oryzae
942,609-01-8873,Naproxen Sodium
943,761-20-2730,Sun Total Protector Color 30 Light Tint
944,435-41-0194,Isopropyl Rubbing Alcohol
945,317-92-2173,Calmicid AC
946,387-80-6090,"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride"
947,850-02-2573,Nifedipine
948,335-52-4914,Finasteride
949,600-90-5757,DIETHYLPROPION HYDROCHLORIDE ER
950,106-74-9237,ANTI-BACTERIAL HAND SANITIZER 2 PACK BLUE DAY SCENTED
951,715-67-5062,oxandrolone
952,514-47-6982,Flu Relief Therapy Night Time
953,737-87-7668,TAXOTERE
954,784-94-5723,Ibuprofen
955,750-16-8545,Alprazolam
956,739-59-2510,Desert Bambu
957,517-94-3887,Metoprolol Tartrate
958,857-93-3585,NITROGEN
959,851-24-8916,Trihexyphenidyl Hydrochloride
960,376-70-2925,Naloxone Hydrochloride
961,629-13-9722,AZITHROMYCIN
962,679-13-1597,Kali Muriaticum Kit Refill
963,559-33-2188,Diltiazem Hydrochloride
964,745-34-2414,ropinirole hydrochloride
965,723-51-6922,Avon Sun
966,225-43-9300,up and up naproxen sodium
967,840-03-0678,Omeprazole
968,247-16-3677,SOLAR SENSE CLEAR ZINC SUNSCREEN FACE and LIPS BROAD SPECTRUM SPF 70
969,626-65-0349,Albuterol Sulfate
970,862-28-6587,Waterless Hand Sanitizer
971,381-42-1323,LABETALOL HYDROCHLORIDE
972,334-38-2531,Cold-EEZE
973,104-90-1267,Pleo Alb
974,565-44-4213,Umcka Menthol
975,748-39-8959,HOUSE DUST
976,783-01-0614,Topiramate
977,458-80-7223,Doxycycline
978,673-83-9208,Shopko Antibacterial Foaming Hand Sanitizer
979,481-70-4588,Bupropion Hydrochloride
980,431-86-0217,Aralast
981,425-39-7269,BDNF
982,878-89-0808,Bayberry
983,367-53-9583,Bay Leaf
984,495-61-7046,DIEDA FENGSHI GAO MEDICATED PLASTER
985,675-86-2198,Fentanyl
986,438-13-1370,Relpax
987,876-61-0023,Shopko
988,645-48-9986,VENLAFAXINE HYDROCHLORIDE
989,814-54-9412,COLESTIPOL HYDROCHLORIDE
990,102-10-6802,Intervene Radiance Boosting Moisture SPF 15
991,567-96-5808,Levetiracetam
992,298-89-2909,Irbesartan
993,258-38-2062,California Mugwort
994,363-84-9175,Meprobamate
995,740-35-6555,Infants Pain Reliever
996,825-38-5476,Metaxalone
997,729-68-7790,Gabapentin
998,359-52-5738,Levothyroxine Sodium
999,491-82-4429,Midodrine Hydrochloride
